id,position,label,description,start_date,term,end_date,replaces,replaced_by
Q5018756,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q5018756,Q7241291,President of Tanzania,"",2015-11-05,,"",Jakaya Kikwete,""
Q5018837,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q5081142,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q5081195,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q5200664,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q5237213,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q5271239,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q5279164,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q5306810,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q5363267,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q5364221,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q5414313,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q5429642,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q5437898,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q5441481,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q5442106,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q5443307,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q5501021,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q5506397,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q5506432,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q5506491,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q5527603,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q5553143,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q5559560,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q5583434,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q5607187,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q5639922,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q5645411,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q5679373,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q5679622,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q5679807,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q5684168,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q5687576,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q5711246,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q5734667,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q57488,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q57488,Q7241291,President of Tanzania,"",2005-12-21,,2015-11-05,Benjamin Mkapa,John Magufuli
Q57488,Q946339,Chairperson of the African Union,position,2008-01-31,,2009-02-02,John Kufuor,Muammar al-Gaddafi
Q57693,Q16147875,Prime Minister of Tanzania,"",2008-02-09,,2015-11-05,Edward Lowassa,Kassim Majaliwa
Q57693,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q58152,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q5987776,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q6084743,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q6087977,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q6153209,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q6153492,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q6225954,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q6249130,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q6310729,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q6398899,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q6399650,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q6401342,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q6732788,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q6737420,Q16147875,Prime Minister of Tanzania,"",2015-11-20,,,Mizengo Pinda,
Q6737420,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q6738666,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q6761270,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q6761791,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q6768990,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q6768990,Q1937160,minister without portfolio,type of government minister,"",,,,
Q6768990,Q6867649,"Ministry of Water and Irrigation, Tanzania","","",,,,
Q6787103,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q6820967,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q6826836,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q6893059,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q6932973,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q6944613,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q7070296,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q7139225,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q7141770,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q7167820,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q7285580,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q7339108,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q7395570,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q7399876,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q7403897,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q7404547,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q7404569,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q7405361,Q17599130,Member of the National Assembly of Tanzania,"",2017-03-01,11th Parliament of Tanzania,,,
Q7412163,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q7412646,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q744271,Q16147875,Prime Minister of Tanzania,"",1990-11-09,,1994-12-07,Joseph Sinde Warioba,Cleopa Msuya
Q744271,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q744271,Q19057636,Vice President of Tanzania,"",1990,,1994,Joseph Sinde Warioba,Cleopa Msuya
Q7446651,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q7446653,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q7487777,Q1138299,National Assembly,National Assembly of Tanzania,"",,,,
Q7487777,Q13125260,Ministry of Home Affairs,government agency of Tanzania,"",,,,
Q7487777,Q14866765,Ministry of Defence and National Service,"","",,,,
Q7487777,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q7500169,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q7504868,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q7529926,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q7562920,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q7563912,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q7609625,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q7609916,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q7694046,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q7881722,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q7936701,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q7943288,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q8008877,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q8008877,Q30277603,Member of the Pan-African Parliament,"","",,,,
Q8014785,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q8015604,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q8046924,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q8064834,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q8065091,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q9032315,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
